proceso,fortalezas_interna,oportunidades_mejora_interna,hallazgos_interna,no_conformidades_interna,recomendacion_desempeno_interna,fortalezas_externa,oportunidades_mejora_externa,hallazgos_externa,no_conformidades_externa,recomendacion_desempeno_externa
DISEÑO DE CONTENIDO VIRTUAL,"La redefinición del flujograma para el diseño de módulos virtuales ha proporcionado una hoja de ruta más precisa y clara, estableciendo los pasos exactos y los insumos necesarios para la generación de contenido, lo que conlleva la optimización del proceso ya que se reduce la incertidumbre, se estandariza la calidad y se asegura una entrega más eficiente y coherente de los módulos, lo cual es fundamental para el éxito de la educación virtual. | El uso del software Monday para el control de la planeación y la entrega de los Objetos Virtuales de Aprendizaje (OVAS), debido a que es una herramienta de gestión que permite un seguimiento riguroso de las tareas y los plazos, generando información valiosa en tiempo real. Esto no solo mejora la coordinación entre los equipos, sino que también garantiza que los proyectos se mantengan en el cronograma, optimizando los recursos y asegurando una producción oportuna y de alta calidad. | El comité operativo de educación virtual, ya que centraliza la toma de decisiones estratégicas, a través de esta instancia de control y dirección que asegura que todas las acciones y proyectos relacionados con la educación virtual estén alineados con los objetivos de la Institución.","La incorporación de tendencias asociadas a educación virtual, entre los que se destacan: realidad aumentada, realidad virtual, inteligencia artificial y aprendizaje móvil, en la oferta de la Institución, puede enriquecer la experiencia de aprendizaje, hacer los contenidos más interactivos y atractivos, y preparar a los estudiantes para los desafíos del futuro. | Revisar restricciones o condicionales que tiene el LMS, para incorporarlas en la pauta de diseño de los Objetos Virtuales de Aprendizaje (OVAS), se sugiere que esta revisión incluya aspectos clave como la interoperabilidad, la propiedad intelectual y los d erechos de autor. Al hacerlo, se garantiza que el contenido creado sea compatible, legalmente seguro y que se pueda reutilizar de manera eficiente, optimizando la gestión de los recursos digitales. | Es necesario definir un protocolo claro para la oferta de cursos, que incluya los procedimientos de diseño y de oferta, para garantizar que cada curso cumpla con los estándares de calidad antes de su lanzamiento y que la gestión sea coherente en todas las etapas. Esta medida es vital para asegurar una experiencia de aprendizaje fluida y consistente para el estudiante. | Se recomienda revisar e incorporar las buenas prácticas definidas en la norma NTC 6576, de manera que la Institución se alinee con estos estándares para garantizar la calidad en los procesos de la educación virtual. Al adoptar las directrices de la norma, se mejora la gestión de los programas, la creación de contenidos y la experiencia de aprendizaje, lo que f ortalece la credibilidad y el prestigio de la Institución en este ámbito. | Se sugiere catalogar de manera formal el portafolio de recursos digitales, a través del desarrollo de un sistema de catalogación que permita una búsqueda y gestión eficiente de los contenidos. Al no tener una catalogación estandarizada, se corre el riesgo de perder la trazabilidad de los recursos, duplicar esfuerzos de creación y dificultar la reutilización de material valioso, lo que impacta negativamente la eficiencia y la calidad de la educación virtual.",,,"Se recomienda establecer un índice de eficiencia para el diseño y la creación de OVAS, con métricas que permitan medir el tiempo, el costo y el impacto de cada recurso creado, así la Institución podrá identificar cuellos de botella en el proceso, optimizar la asignación de recursos y mejorar la productividad, lo que se traducirá en una oferta educativa virtual más ágil y de mayor calidad. | Se sugiere cuantificar los procesos de ""devolución"" y la información de tendencias asociadas a las salidas no conformes (SNC), lo que contribuirá a analizar las razones detrás de las devoluciones de solicitudes o trámites para identificar las causas raíz, estas tendencias permitirán implementar acciones preventivas y correctivas, lo que mejorará la eficiencia de los procesos y la satisfacción del usuario.",,,,,
DOCENCIA. GESTIÓN DOCENTE. EXTENSIÓN. PRÁCTICAS.,,,,,,"La gestión docente se encuentra integrada al Sistema (PHVA) y se articula con la Vicerrectoría Académica, Talento Humano ya que permite con claridad ver las actividades en los procedimientos de selección y vinculación, asignación de docencia, inducción y formación evidenciando en cada uno de ellos los registros para auditoría y mejora continua de estos. | El Comité Operativo definido en POLISIGS cumple con el seguimiento mensual a la implementación de los procesos académicos el cual ha permitido garantizar que la gestión docente esté alineada con la política institucional y los demás sistemas de gestión. | Las actividades docentes se encuentran sujetas a procesos de autoevaluación institucional, auditorías internas y seguimiento de indicadores ya que permite observar el desempeño docente y el cumplimiento de objetivos académicos.",,,,"Las actividades docentes se encuentran sujetas a procesos de autoevaluación institucional, auditorías internas y seguimiento de indicadores ya que permite observar el desempeño docente y el cumplimiento de objetivos académicos."
DOCENCIA. OPERACIONES ACADÉMICAS.,,,,,,"Se observó en la sede Medellín el cómo se aplica adecuadamente los lineamientos del Sistema Integrado de Aseguramiento y Gestión para la Sostenibilidad – POLISIGS, ya que permite garantizar una consistencia en procesos como la asignación de la carga academia y la gestión de informes académicos. | Los equipos docentes y administrativos del politécnico Medellín hacen un uso eficaz de plataformas como lo es Sophos Académico, Campus Virtual y plataformas de seguimiento institucional el cual le ha permitidogestionar información de manera oportuna y mantener trazabilidad de los procesos académicos. | Se evidencia que los docentes asignados a la sede Medellín cumplen de manera permanente y consistente con la estrategia institucional de presencialidad, asistiendo oportunamente a sus aulas, ya que permite desarrollar las sesiones según los syllabus establecidos y aprobados para la ejecución de sus clases. | Se evidencia que las clases virtuales asociadas a los programas deportivos programados en los semestres se desarrollan conforme a los lineamientos institucionales, con una programación establecida, con docentes asignados capacitados, y materiales virtuales actualizados el cual ha permitido el control del proceso y prestación del servicio educativo en un ejercicio permanente. | La adecuada organización de torneos internos, con la aplicación de medidas de seguridad y salud ocupacional, la adopción de buenas prácticas ambientales alineadas al desarrolló de los torneos y el uso eficaz de plataformas tecnológicas y registros conforme a las actividades ya que permite observar evidencias de control operacional, trazabilidad y alineación con los sistemas de gestión implementados. | La socialización que al iniciar cada periodo académico y en los primeros encuentros de clase, los docentes realizan de manera formal las orientaciones ambientales y de seguridad y salud en el trabajo, incluyendo manejo adecuado de residuos, uso eficiente de recursos, comportamiento ambiental responsable en campus ya que permite la concientización y comunicación establecidos en los sistemas de gestión para el politécnico en Medellín.","La creación de un mecanismo de revisión posterior de las audiencias para los trámites de audiencia en el caso de las conciliaciones prejudicial, programadas realizadas con el fin de que se permita identificar patrones de reclamaciones y oportunidades de prevención del daño antijurídico.",,,
EXPERIENCIA INSTITUCIONAL,"La Institución ha implementado y fortalecido el modelo de experiencia, a través del uso de tableros de experiencia (con indicadores como SSI, NPS y CES), la proyección de CX Academy (Academia de Experiencia del Cliente) y el énfasis en la Employee Experience (Experiencia del Empleado), lo que demuestra un enfoque estratégico y holístico en la creación de valor a través de la experiencia, tanto para los estudiantes como para los colaboradores. | Los tableros de experiencia proporcionan datos objetivos y en tiempo real (SSI, NPS, CES), que permiten medir el impacto de las acciones y detectar oportunidades de mejora en la satisfacción y el esfuerzo del estudiante, construyendo un círculo virtuoso de cara a la experiencia para los estudiantes, impulsando la lealtad, la eficiencia y el crecimiento sostenible de la Institución. | La Institución ha profundizado y optimizado en un análisis 360 la retroalimentación de las partes interesadas logrando identificar con mayor precisión los puntos críticos y las interconexiones entre las diversas fuentes de retroalimentación (estudiantes, docentes, personal,) y aumentar la claridad los retos y las causas raíz subyacentes en la gestión de la satisfacción.","En cuanto a la aplicación de los instrumentos de percepción, es necesario realizar la optimización desde un análisis previo del grado de exposición de cada parte interesada a los diferentes momentos de evaluación de los procesos o servicios, esto implica d iseñar una estrategia de despliegue que evite la sobrecarga de encuestas o solicitudes de retroalimentación a un mismo grupo, evitando saturación de las partes interesadas y garantizando la calidad y representatividad de la información recolectada. | Se sugiere ahondar y optimizar las ventanas de tiempo para la recolección y análisis de información relacionada con el enfoque a estudiantes y otros beneficiarios, lo cual implica definir momentos óptimos para la aplicación de instrumentos que miden la exp eriencia (momentos de verdad, interacciones relacionales, transaccionales y reputacionales) y la posterior explotación de esos datos. Esto contribuirá a asegurar que la Institución obtenga insights accionables de manera oportuna, facilitando la sincronizac ión entre la recolección, la maduración de los resultados esperados y la capacidad de acción de la Institución, se evita la información obsoleta y se maximiza la efectividad de las intervenciones, garantizando que el servicio educativo se adapte constantemente a las necesidades y expectativas de sus beneficiarios. | La segmentación de los instrumentos de medición de experiencia (encuestas, entrevistas, etc.) para que estos se apliquen de forma más específica y diferenciada, acorde con el requisito 9.1.3 de la norma (otras necesidades de seguimiento y medición), que exige retroalimentación sobre los productos/servicios educativos, su eficacia en los resultados de aprendizaje y la influencia en la comunidad. Esto permitirá asegurar que la Institución obtenga una retroalimentación más precisa, pertinente y accionable con cada parte interesada, maximizando así la efectividad de sus acciones de mejora. | El diseño e implementación de un instrumento de percepción específico desde la perspectiva de la responsabilidad social empresarial (RSE), que permita capturar cómo las partes interesadas (estudiantes, colaboradores, empleados, comunidad, etc.) perciben el desempeño de la Institución en sus iniciativas de RSE, esto continuará de manera significativa a la definición y validación del cumplimiento de las necesidades y expectativas de las partes interesadas en torno a los componentes de gestión de RSE de la Institución.",,,"La Institución ha implementado y fortalecido el modelo de experiencia, a través del uso de tableros de experiencia (con indicadores como SSI, NPS y CES), la proyección de CX Academy (Academia de Experiencia del Cliente) y el énfasis en la Employee Experience (Experiencia del Empleado), lo que demuestra un enfoque estratégico y holístico en la creación de valor a través de la experiencia, tanto para los estudiantes como para los colaboradores. | Los tableros de experiencia proporcionan datos objetivos y en tiempo real (SSI, NPS, CES), que permiten medir el impacto de las acciones y detectar oportunidades de mejora en la satisfacción y el esfuerzo del estudiante, construyendo un círculo virtuoso de cara a la experiencia para los estudiantes, impulsando la lealtad, la eficiencia y el crecimiento sostenible de la Institución. | La segmentación de los instrumentos de medición de experiencia (encuestas, entrevistas, etc.) para que estos se apliquen de forma más específica y diferenciada, acorde con el requisito 9.1.3 de la norma (otras necesidades de seguimiento y medición), que exige retroalimentación sobre los productos/servicios educativos, su eficacia en los resultados de aprendizaje y la influencia en la comunidad. Esto permitirá asegurar que la Institución obtenga una retroalimentación más precisa, pertinente y accionable con cada parte interesada, maximizando así la efectividad de sus acciones de mejora.","La plataforma que se utiliza actualmente para medir y hacer seguimiento a la percepción del cliente frente a la prestación del servicio, la cual incluye mecanismos de inteligencia artificial; esto asegura la recopilación de información oportuna para la toma de decisiones encaminadas a la mejora del desempeño de la operación y por ende, del sistema de gestión.","Incrementar la meta del índice de satisfacción del cliente, con el fin de promover la mejora continua de la prestación del servicio y, por lo tanto, del sistema de gestión. | Fortalecer la manera en que se maneja actualmente la data de las quejas, peticiones, solicitudes, entre otros, con el fin de identificar con precisión la cantidad de quejas que se presentan en la prestación del servicio.",,,"Incrementar la meta del índice de satisfacción del cliente, con el fin de promover la mejora continua de la prestación del servicio y, por lo tanto, del sistema de gestión."
GESTION DE INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,"La generación de las actas de apertura y cierre de contratos de obra, es un registro que permite garantizar los resultados de supervisión, mitigando riesgos asociados con insuficiencia de información sobre desempeño de proveedores. | La implementación del código QR para novedades o solicitudes de mantenimiento correctivo, vincula a todos los usuarios con el compromiso de cuidado de la planta física, favoreciendo el reporte oportuno, para la toma de decisiones y acciones correctivas, que conllevan al cumplimiento del objetivo del proceso. | La migración de controles manuales de servicios generales a automatización en Kawak, debido a que optimiza la gestión operativa y reduce la probabilidad de errores humanos, garantizando la coherencia de la información, asegura la trazabilidad y el seguimiento en tiempo real, lo que se traduce en una operación más ágil, confiable y con menores costos a largo plazo.","Se recomienda revisar y ajustar la periodicidad de los mantenimientos para que se alineen con la normativa de gestión de activos, lo cual permitirá estandarizar estos intervalos para optimizar la vida útil de los equipos, prevenir fallos inesperados y garantizar la máxima eficiencia operativa. Al no tener una periodicidad definida por la norma, se corre el riesgo de realizar mantenimientos de manera ineficiente o de enfrentar deterioros prematuros que impacten la prestación del servicio y la seguridad. | Se sugiere mejorar las observaciones asociadas a los mantenimientos de maquinaria, equipos e infraestructura. Es crucial que, además de las acciones realizadas, se documenten las condiciones específicas de los cambios de repuestos o piezas y su disposición final, esta práctica no solo permite una trazabilidad completa del ciclo de vida de los componentes, sino que también es vital para mitigar los impactos ambientales y los riesgos de seguridad y salud en el trabajo, asegurando un manejo responsable de los residuos. | Conviene la incorporación de las condiciones de SST y ambiente para la ejecución de mantenimiento de maquinaria y equipos, en la hoja de vida de los equipos para garantizar que el personal de mantenimiento tenga acceso inmediato a la información crítica sobre los riesgos asociados a la operación y el mantenimiento de cada equipo. Al formalizar estos datos, se facilita la gestión preventiva, se reduce la probabilidad de accidentes y se asegura un cumplimiento más riguroso de las normativas de SST y ambientales.",,"La organización no ha asegurado que los servicios contratados que puedan afectar la seguridad y salud en el trabajo se controlen de manera adecuada. Evidencia: Durante la visita de auditoría a la cafetería ubicada en el piso 7 de la sede City Campus, operada por el contratista Freshko, se evidenciaron las siguientes desviaciones: • Producto procesado el día anterior para perros calientes sin rotulación, lo cual impide su adecuada identificación y control. • Pulpa de fruta porcionada con rótulo vencido (21 -06-2025), lo cual representa una condición insegura en la manipulación y consumo de alimentos. • Almacenamiento de productos químicos sin cumplir parámetros de compatibilidad, específicamente Detergill (desengrasante) e hipoclorito de sodio, dispuestos juntos sin las separaciones adecuadas, lo cual representa un riesgo químico por posible reacción peligrosa. • No se evidencia los criterios documentados de supervisión de proveedores tercerizados, para el caso del servicio de limpieza de Casa limpia.",,,,,,
GESTIÓN AMBIENTAL,"La participación de la Institución en el Green Metric World University Ranking, ocupando la posición 327 a nivel mundial y 25 a nivel nacional en Colombia, debido a que son reconocimientos que impulsan a la organización a mantener actualizadas sus práctica s y estrategias de gestión ambiental, promoviendo una mejora continua en temas como sostenibilidad, uso eficiente de recursos, manejo de residuos y cambio climático, en coherencia con su compromiso institucional y su responsabilidad frente a la comunidad académica y el entorno. | El reconocimiento otorgado en el Catálogo de Techos Verdes y Jardines Verticales 2024 por parte de la Secretaría Distrital de Ambiente, asociado a la sede City Campus, es una distinción que evidencia el compromiso institucional con la infraestructura soste nible, la mitigación de impactos ambientales y el fortalecimiento de espacios verdes urbanos, en línea con las estrategias de adaptación al cambio climático y mejora de la calidad ambiental en entornos educativos. | La participación de la Institución en jornadas de voluntariado ambiental orientadas a la siembra en áreas de restauración, en articulación con la Alcaldía Local de Chapinero, debido a que se promueve la responsabilidad social y ambiental, fortalece el vínc ulo con la comunidad local y contribuye a la conservación de ecosistemas urbanos, alineándose con los principios de sostenibilidad y educación ambiental del sistema de gestión. | La participación de la Institución en la COP16, a través de la presentación de proyectos académicos, actividades pedagógicas en la Zona Verde y ponencias en el circuito académico, ya que esta presencia evidencia el compromiso institucional con el cambio climático.","Es importante que se dé claridad al ciclo de vida del servicio educativo, estructurando sus etapas desde el diseño, desarrollo (vinculación y formación) hasta el cierre de programas académicos, incluyendo las actividades asociadas en cada fase, lo cual fac ilitara la identificación de los aspectos e impactos ambientales en cada etapa del ciclo de vida del servicio, y se podrá fortalecer la planificación, el control operacional focalizando los esfuerzos en los impactos ambientales significativos. | Fortalecer la matriz de identificación de aspectos y valoración de impactos ambientales, particularmente en la categorización de las condiciones de operación normales, anormales y de emergencia, asegurando que la identificación de aspectos ambientales esté directamente relacionada con las actividades que los generan bajo diferentes condiciones operativas, lo cual permitirá una evaluación más precisa de los impactos significativos y el establecimiento de controles eficaces. | Se requiere realizar una revisión del embalaje utilizado para el envío de diplomas, con el objetivo de definir e implementar un mecanismo que sea amigable con el medio ambiente, por tanto, se requiere evaluar los materiales actuales y buscar alternativas más sostenibles y ecológicas. | Es importante definir e implementar un programa de inspecciones periódicas en los centros de acopio de residuos, con criterios específicos que permitan verificar el cumplimiento de las condiciones de infraestructura exigidas por la normatividad ambiental colombiana aplicable, asegurando que los centros de acopio cumplan con las condiciones técnicas, de seguridad y ambientales requeridas para el almacenamiento temporal de residuos, prevenir impactos ambientales, y garantizar el cumplimiento del Decreto 1076 de 2015 y demás resoluciones específicas según el tipo de residuo (como la Resolución 851 de 2022 para RAEE). | Fortalecer el registro, seguimiento y reporte de las actividades realizadas en respuesta a los incumplimientos de requisitos legales identificados, contar con un control sistemático y documentado permitiría evidenciar la trazabilidad de las acciones correc tivas, verificar su eficacia y garantizar el cumplimiento de los marcos normativos aplicables al sistema de gestión. | Definir de manera clara los criterios que determinen en qué momento deben generarse acciones de mejora a partir de los resultados de la evaluación de cumplimiento legal, para lo cual se debe considerar niveles de criticidad, impacto o incumplimiento, que a ctiven acciones correctivas o acciones de mejora según corresponda, lo que contribuirá a garantizar la pertinencia, oportunidad y eficacia de la respuesta organizacional al cumplimiento de requisitos legales. | Establecer o identificar normas que directamente no son requisito legal para la Institución pero que pueden tener impacto en el SGA o SG -SST, con el fin de presentarlos a la alta dirección y facilitar la toma de decisiones respecto a su adopción, implementación o seguimiento como requisitos aplicables, esto fortalecería la planificación estratégica, la anticipación de riesgos legales y la alineación con marco s normativos voluntarios o emergentes, tanto en el ámbito ambiental como en el de SST. | Fortalecer el proceso de identificación de requisitos normativos incluyendo Normas Técnicas Colombianas (NTC) que sean relevantes para las operaciones de la Institución, con lo cual se contará información que contribuirá a reforzar los controles establecidos en los sistemas de gestión, mejorar el cumplimiento voluntario y anticipar riesgos asociados a estándares técnicos. | Se recomienda que en el normograma institucional se identifique explícitamente a qué sistema o sistemas de gestión (calidad, ambiental, SST, seguridad vial, entre otros) se asocia cada requisito legal, manteniendo la trazabilidad del proceso responsable de su implementación y aseguramiento del cumplimiento, esto contribuirá a mejorar la trazabilidad y control del cumplimiento normativo, alineando responsabilidades y optimizando la gestión de los sistemas.",,"La organización no ha identificado todos los aspectos ambientales asociados a sus actividades, productos y servicios, que puede controlar o influenciar. Evidencia: Durante la revisión de la matriz de aspectos e impactos ambientales, se evidenció que no se han considerado los aspectos ambientales asociados al personal que realiza teletrabajo, a pesar de que esta condición implica actividades que están bajo la influencia de la organización (por ejemplo, consumo de energía, disposición de residuos, uso de recursos digitales), y que pueden generar impactos ambientales indirectos. | La organización no ha asegurado un control eficaz para que la información documentada requerida esté disponible, actualizada, identificada y protegida contra el uso de versiones obsoletas. Evidencia: En la enfermería del campus, se encontró una copia impresa del Plan de Manejo de Residuos GMPG1, versión 8, mientras que en el sistema oficial de gestión documental (Kawak) la versión vigente es la 10, lo que evidencia uso potencial de información desactualizada. El Análisis de Vulnerabilidad y el Procedimiento de Evacuación revisados no presentan fecha de elaboración ni revisión visible, impidiendo verificar su vigencia, aplicabilidad y alineación con los requerimientos actuales del sistema.","Definir con mayor claridad las metas asociadas a los objetivos de gestión ambiental, asegurando que dichos objetivos sean puntuales, medibles y alcanzables, evitando así ambigüedades en lo que se pretende lograr, facilitar su seguimiento y evaluación, promoviendo así una planificación ambiental efectiva y orientada a resultados concretos. | Es importante desagregar los indicadores por sede, de manera que la información refleje las condiciones y resultados específicos de cada una, con el fin de contar con datos más precisos que permitan establecer acciones diferenciadas y focalizadas, facilitando la toma de decisiones y la mejora continua en función del contexto operativo de cada sede.",,,,"NC 4 de 5: ISO 14001:2015. 8.1 a). ISO 45001:2015. 8.1.1 b). La organización no implementa el control de los procesos de acuerdo con los criterios. Evidencia: Se evidencia hoja de seguridad vencida para el almacenamiento de ACPM en la planta de respaldo de City Campus. | Durante el recorrido realizado en la sede City Campus se evidencian dos contenedores con sustancia de color oscuro desconocida y sin el etiquetado correspondiente, derivada de las actividades de mantenimiento de la planta de tratamiento de aguas lluvia.",
GESTIÓN AMBIENTAL SEDE MEDELLÍN,,,,,,"El POLISIGS como sistema integrado de aseguramiento y gestión para la Sostenibilidad del Politécnico el cuál ha permitido la articulación de la estrategia institucional con los procesos operativos y de aseguramiento como lo es la gestión ambiental, promoviendo la sostenibilidad y el mejoramiento continuo. | El recorrido ambiental por el cerro El Volador; el cine-foro sobre biodiversidad y la charla “Zarigüeyas Seres Incomprendidos”; el cual ha permitido realizar jornadas voluntarias, entre ellas en alianza con la Cuarta Brigada del Ejército Nacional. | En Medellín, en la sede Los Colores se realizaron activaciones de concienciación sobre la COP16 el 16 de octubre del 2025, el cual ha permitido mediante la toma de salones, presentación musical, charla sobre biodiversidad la participación de la mayoría de los estudiantes en el tema de la gestión ambiental.","La incorporación de indicadores para medir tasas de reciclaje, residuos peligrosos y aprovechables con el fin de tener una mejor gestión e identificación sobre si son corrosivos, reactivos, explosivos, tóxicos, inflamables, pueden causar daños o efectos indeseados a la salud o al ambiente.",,,"La incorporación de indicadores para medir tasas de reciclaje, residuos peligrosos y aprovechables con el fin de tener una mejor gestión e identificación sobre si son corrosivos, reactivos, explosivos, tóxicos, inflamables, pueden causar daños o efectos indeseados a la salud o al ambiente."
GESTIÓN DE ABASTECIMIENTO,"El ejercicio de creación de la red de aliados pares, para generar iniciativas de economía a gran escala que permiten lograr eficiencia en el gasto desde la fase de planificación, se convierte en una estrategia que transforma el proceso de compras de una fu nción reactiva a una estrategia proactiva, logrando mayor poder de negociación, asegurando que la inversión genere un retorno más alto, fortaleciendo la sostenibilidad financiera. | La disminución del umbral de pagos a 15 días para pymes y emprendedores favorece la implementación de la política de Responsabilidad Social Empresarial (RSE) que genera un impacto económico tangible y directo en los proveedores, esto se convierte en una herramienta estratégica que mejora el flujo de caja de las pequeñas empresas, lo cual es fundamental para su operatividad y crecimiento, proporcionando a estos proveedores la liquidez necesaria para cubrir sus costos, invertir en sus operaciones y, en última instancia, fortalecer su capacidad para seguir siendo socios comerciales viables.","En relación con la matriz de criticidad de proveedores, se requiere realizar una revisión de los criterios considerando los productos y servicios son proporcionados directamente a los estudiantes u otros beneficiarios por proveedores externos en nombre de la organización; de manera que, al realizar la valoración, este tipo de proveedores quede incluido en el nivel de criticidad que requiere seguimiento y evaluación. | La política de compras, de manera que se asegure su actualización y la inclusión de los temas asociados a R esponsabilidad Social Empresarial (R SE), Diversidad, Equidad e Inclusión (DEI), Seguridad y Salud en el trabajo (SST) y Gestión Ambiental (GA), en materia de criterios y corresponsabilidad, diferenciando la estructura de este documento con la del procedimiento, en el entendido de que la política debe incluir principios, directrices estratégicas y tácticas, gestión de riesgos de reputación y continuidad asociados; y actividades transversales de aseguramiento.",,,,La gestión realizada por el proceso para garantizar el pago a 15 días para Pymes y Emprendedores como parte de la gestión social que realiza la organización; esto permite fidelizar a los aliados para una correcta prestación del servicio.,"Vincular a los procesos de gestión ambiental y de SST en la valoración de los criterios que determinan la criticidad de un proveedor, esto permitirá contar con información técnica objetiva al momento de calificar estos aspectos. | Vincular a los procesos de gestión ambiental y de SST en la evaluación de los proveedores junto con la información que se genera producto de las actividades de seguimiento e inspección; esto fortalecerá el grado de objetividad de esta actividad. | Fortalecer los criterios a través de los cuales se agrupan a los proveedores en las diferentes categorías de la matriz de proveedores críticos, con el fin de asegurar que se pueda hacer una priorización adecuada desde el punto de vista ambiental, así como de seguridad y salud en el trabajo. | Criterios para determinar cómo califico a un proveedor como bueno en materia de ambiental y SST.",,NC 1 de 5: ISO 9001:2015. 8.4.3 e). La organización no comunica a los proveedores externos el seguimiento al desempeño. Evidencia: Para el proveedor Convías no se comunicó el resultado de la evaluación de desempeño realizada en junio de 2025.,
GESTIÓN DE INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS,,,,,,"El reciente cambio de tecnología para el servicio del transporte que se ofrece a los estudiantes para la sede principal, esto reduce la huella de carbono de la operación. | Los resultados obtenidos en la encuesta de satisfacción de servicios prestados por el proceso a la comunidad educativa, esto denota un trabajo adecuado y oportuna en el mantenimiento y mejora de la infraestructura.","Integrar las inspecciones calidad, SST y ambiental.",,"NC 2 de 5: ISO 9001:2015. 4.4 f). ISO 14001:2015. 8.1 primer párrafo. La organización no aborda los riesgos identificados. Evidencia: No se evidencia la realización de inspecciones para los contratistas de aseo y vigilancia en la sede de Medellín, tal como se tiene establecido en el control 348 para el riesgo 341 “administración de los contratos de vigilancia, limpieza, concesiones, parqueadero y transporte ejecutada de manera inadecuada”. | NC 3 de 5: ISO 9001:2015. 6.3 ISO 14001:2015. 8.1 segundo párrafo. ISO 45001:2018. 8.1.3 primer párrafo. La organización no lleva a cabo los cambios de manera planificada. Evidencia: No se llevó a cabo la planificación del cambio para el reforzamiento estructural del edificio C de la sede Campus.",
GESTIÓN DE LA RESPONSABILIDAD SOCIAL,"La beca para estudiantes en proceso de inclusión evidencia un firme compromiso con el apoyo a esta población, asegurando recursos económicos para la continuidad y permanencia educativa, lo que elimina barreras financieras y promueve activamente la equidad y la diversidad. | El notable progreso en el índice de inclusión para la educación superior, pasando de 3 a 4.42 en las últimas tres mediciones, es un avance que evidencia la eficacia de los programas y habilitantes desarrollados para atender a la población con Necesidades E ducativas Especiales (NEE), demostrando que las estrategias implementadas no son solo teóricas, sino que tienen un impacto tangible y positivo en la vida de los estudiantes. | La resignificación del estímulo a la excelencia académica le permite al proceso expandir el programa de becas para incluir líneas como talento deportivo, logros en investigación, el programa ""avanza"" para mayores de 60 años, y el apoyo a minorías y persona s con discapacidad, reconociendo que la excelencia se manifiesta de múltiples formas. | El programa de Responsabilidad Social Empresarial (RSE) que, a través de estrategias como ""Huella verde"" y el voluntariado, fortalece el enfoque de la Institución como una entidad sostenible, lo que demuestra un compromiso activo con el medio ambiente y la comunidad, mejorando la imagen y reputación de la Institución e inculcando en sus miembros valores de conciencia social y responsabilidad ambiental. | La destinación de los rubros de arrendamiento al programa de becas es una fortaleza notable, ya que crea una fuente de financiamiento sostenible para el apoyo socioeconómico de los estudiantes. Esta práctica demuestra una gestión financiera estratégica y c on propósito social, al convertir un ingreso operativo en una inversión directa en el futuro de los estudiantes. Esto no solo aumenta la captación de recursos, sino que también refuerza el compromiso de la Institución con la permanencia y el éxito educativo.","Se sugiere parametrizar el nivel de riesgo de los casos de estudiantes en el programa de inclusión para facilitar el análisis de datos, estableciendo variables y criterios que permitan cuantificar y categorizar los riesgos de manera sistemática. Al no tener esta parametrización, la Institución podría estar tomando decisiones sin la información completa, lo que limita la capacidad de actuar de forma proactiva y de optimizar las estrategias de apoyo a esta población. | Es fundamental medir la tasa de éxito de los estudiantes que pertenecen al programa de inclusión, a través de la definición de indicadores que permitan evaluar el impacto de las acciones adelantadas. Al no tener esta medición, la Institución no puede determinar la eficacia de sus programas de apoyo y podría estar invirtiendo recursos sin un conocimiento claro sobre el retorno y los resultados obtenidos.",,,"Es fundamental medir la tasa de éxito de los estudiantes que pertenecen al programa de inclusión, a través de la definición de indicadores que permitan evaluar el impacto de las acciones adelantadas. Al no tener esta medición, la Institución no puede determinar la eficacia de sus programas de apoyo y podría estar invirtiendo recursos sin un conocimiento claro sobre el retorno y los resultados obtenidos.",,,,,
